test.subset,train.subsets,learner_id,task_id,mean_auc_micro,sd_auc_micro,mean_auc_macro,sd_auc_macro,lr,learner_name
balanced,other,lr0.1conv_CE_unweighted,MNIST_seed2_prop0.01,0.96936426560084,0.00632005162222704,0.990707039833069,0.00201452799772375,0.1,conv_CE_unweighted
unbalanced,other,lr0.1conv_CE_unweighted,MNIST_seed2_prop0.01,0.996284405390421,0.000734478436184166,0.996176242828369,0.000661190044744629,0.1,conv_CE_unweighted
balanced,same,lr0.1conv_CE_unweighted,MNIST_seed2_prop0.01,0.996731102466583,0.00050009778890829,0.996555626392365,0.000502282520363215,0.1,conv_CE_unweighted
unbalanced,same,lr0.1conv_CE_unweighted,MNIST_seed2_prop0.01,0.996752540270487,0.000420623032552767,0.990899046262105,0.00433465197380121,0.1,conv_CE_unweighted
balanced,other,lr0.1conv_Macro_AUM,MNIST_seed2_prop0.01,0.5621258020401,0.0199648510576655,0.911909560362498,0.0155441822807311,0.1,conv_Macro_AUM
unbalanced,other,lr0.1conv_Macro_AUM,MNIST_seed2_prop0.01,0.578384160995483,0.0364727686803317,0.926862915356954,0.0223056498697237,0.1,conv_Macro_AUM
balanced,same,lr0.1conv_Macro_AUM,MNIST_seed2_prop0.01,0.547012348969778,0.00605643552054185,0.896833121776581,0.0281296542587354,0.1,conv_Macro_AUM
unbalanced,same,lr0.1conv_Macro_AUM,MNIST_seed2_prop0.01,0.521782040596008,0.0277650954469642,0.888538559277852,0.0642868226333886,0.1,conv_Macro_AUM
balanced,other,lr0.1conv_Micro_AUM,MNIST_seed2_prop0.01,0.881543199221293,0.0269574945112752,0.91936453183492,0.0239382438294378,0.1,conv_Micro_AUM
unbalanced,other,lr0.1conv_Micro_AUM,MNIST_seed2_prop0.01,0.917973061402639,0.0144124853589336,0.929367005825043,0.00680297960426338,0.1,conv_Micro_AUM
balanced,same,lr0.1conv_Micro_AUM,MNIST_seed2_prop0.01,0.931928316752116,0.00499452583728008,0.930946230888367,0.000809416023323002,0.1,conv_Micro_AUM
unbalanced,same,lr0.1conv_Micro_AUM,MNIST_seed2_prop0.01,0.931581417719523,0.00856452368045664,0.885567784309387,0.0107589223718873,0.1,conv_Micro_AUM
balanced,other,lr0.1conv_CE_weighted,MNIST_seed2_prop0.01,0.995868563652039,0.00142012763921364,0.996321797370911,0.000876189683163743,0.1,conv_CE_weighted
unbalanced,other,lr0.1conv_CE_weighted,MNIST_seed2_prop0.01,0.996767997741699,0.000599964239047877,0.996655921141307,0.000599966789253383,0.1,conv_CE_weighted
balanced,same,lr0.1conv_CE_weighted,MNIST_seed2_prop0.01,0.996186355749766,0.00035222485340795,0.996043264865875,0.000146146760337334,0.1,conv_CE_weighted
unbalanced,same,lr0.1conv_CE_weighted,MNIST_seed2_prop0.01,0.996497551600138,0.000322297346475813,0.996312161286672,0.000247932441718702,0.1,conv_CE_weighted
balanced,other,lr0.5conv_CE_unweighted,MNIST_seed2_prop0.01,0.813818216323853,0.239521440735666,0.875519871711731,0.167296347018751,0.5,conv_CE_unweighted
unbalanced,other,lr0.5conv_CE_unweighted,MNIST_seed2_prop0.01,0.484294046958288,0.0256721831477126,0.524560948212942,0.0295809257963314,0.5,conv_CE_unweighted
balanced,same,lr0.5conv_CE_unweighted,MNIST_seed2_prop0.01,0.937712887922923,0.096760558462522,0.957532783349355,0.0617737239796292,0.5,conv_CE_unweighted
unbalanced,same,lr0.5conv_CE_unweighted,MNIST_seed2_prop0.01,0.825445393721263,0.224737991149399,0.79556812842687,0.247783000251677,0.5,conv_CE_unweighted
balanced,other,lr0.5conv_Macro_AUM,MNIST_seed2_prop0.01,0.540910243988037,0.00461336652580075,0.91154013077418,0.0346017233860534,0.5,conv_Macro_AUM
unbalanced,other,lr0.5conv_Macro_AUM,MNIST_seed2_prop0.01,0.541249295075735,0.0700201079117515,0.94803253809611,0.0114470714584134,0.5,conv_Macro_AUM
balanced,same,lr0.5conv_Macro_AUM,MNIST_seed2_prop0.01,0.528158167997996,0.0159598152231637,0.828293124834696,0.106378580482605,0.5,conv_Macro_AUM
unbalanced,same,lr0.5conv_Macro_AUM,MNIST_seed2_prop0.01,0.596879541873932,0.0172591210870037,0.919059952100118,0.0721240570496143,0.5,conv_Macro_AUM
balanced,other,lr0.5conv_Micro_AUM,MNIST_seed2_prop0.01,0.871126612027486,0.0525443754273573,0.938689152399699,0.033996081814149,0.5,conv_Micro_AUM
unbalanced,other,lr0.5conv_Micro_AUM,MNIST_seed2_prop0.01,0.94884999593099,0.0364462336180411,0.971513450145721,0.00833952149599696,0.5,conv_Micro_AUM
balanced,same,lr0.5conv_Micro_AUM,MNIST_seed2_prop0.01,0.951603790124257,0.0397234332348827,0.973350286483765,0.00566008886738701,0.5,conv_Micro_AUM
unbalanced,same,lr0.5conv_Micro_AUM,MNIST_seed2_prop0.01,0.979153414567312,0.00342162129587188,0.954807619253794,0.00399219773809312,0.5,conv_Micro_AUM
