learner_name,task_id,test.subset,train.subsets,lr,mean_auc_micro,sd_auc_micro,mean_auc_macro,sd_auc_macro
conv_Macro_AUM,FashionMNIST_seed3_prop0.01,balanced,same,1,0.549712200959524,0.00149367808710036,0.90975159406662,0.0122881677025499
conv_Macro_AUM,FashionMNIST_seed3_prop0.01,unbalanced,same,0.3,0.598346213499705,0.0381599495528262,0.939386586348216,0.0106225731053026
conv_Micro_AUM,FashionMNIST_seed3_prop0.01,balanced,other,1,0.920503954092661,0.00407659940299495,0.916111210982005,0.00574408594581313
conv_Micro_AUM,FashionMNIST_seed3_prop0.01,unbalanced,other,0.3,0.944265524546305,0.0269468810733098,0.97197167078654,0.0106804014493954
conv_Micro_AUM,FashionMNIST_seed3_prop0.01,balanced,same,1,0.919369498888651,0.00695477031365395,0.959048231442769,0.00355281768854442
conv_Micro_AUM,FashionMNIST_seed3_prop0.01,unbalanced,same,1,0.978399316469828,0.00806010022034833,0.940057814121246,0.0165096220295138
conv_CE_weighted,FashionMNIST_seed3_prop0.01,balanced,other,0.1,0.946783145268758,0.00337287363142235,0.971495072046916,0.00133670795163264
conv_CE_weighted,FashionMNIST_seed3_prop0.01,unbalanced,other,0.1,0.995887239774068,0.00133178561735727,0.994365533192953,0.000889889893555949
conv_CE_weighted,FashionMNIST_seed3_prop0.01,balanced,same,0.1,0.993281563123067,0.000551435199746289,0.990028997262319,0.000762774070339697
conv_CE_weighted,FashionMNIST_seed3_prop0.01,unbalanced,same,0.1,0.994372407595317,0.00289792707039474,0.987279574076335,0.00336554704396756
conv_CE_unweighted,FashionMNIST_seed4_prop0.01,balanced,other,0.3,0.951528191566467,0.0159420945591348,0.944757839043935,0.00886363886606924
conv_CE_unweighted,FashionMNIST_seed4_prop0.01,unbalanced,other,0.3,0.998167514801025,0.00032162568562849,0.997358798980713,0.000872607018194025
conv_CE_unweighted,FashionMNIST_seed4_prop0.01,balanced,same,0.3,0.992835998535156,0.000410023275744245,0.989962240060171,0.000644142959873369
conv_CE_unweighted,FashionMNIST_seed4_prop0.01,unbalanced,same,0.1,0.999106725056966,0.000115154728829393,0.996320466200511,0.00146227024639527
conv_Macro_AUM,FashionMNIST_seed4_prop0.01,balanced,other,0.3,0.564676304658254,0.0143899445964971,0.914451281229655,0.00702389612402173
conv_Macro_AUM,FashionMNIST_seed4_prop0.01,unbalanced,other,0.3,0.580621540546417,0.0670033442294343,0.931677182515462,0.0443509968314376
conv_Macro_AUM,FashionMNIST_seed4_prop0.01,balanced,same,0.1,0.557275593280792,0.0183219906388077,0.910109957059225,0.0102876633301412
conv_Macro_AUM,FashionMNIST_seed4_prop0.01,unbalanced,same,0.1,0.583045681317647,0.138811990604473,0.944013635317484,0.0153416828486219
conv_Micro_AUM,FashionMNIST_seed4_prop0.01,balanced,other,1,0.915213068326314,0.00936198244905343,0.910265843073527,0.00548231029286931
conv_Micro_AUM,FashionMNIST_seed4_prop0.01,unbalanced,other,1,0.967864414056142,0.00690568513677955,0.974679092566172,0.00430912318905288
conv_Micro_AUM,FashionMNIST_seed4_prop0.01,balanced,same,1,0.936282237370809,0.00858867189695075,0.964735090732574,0.00388495673421581
conv_Micro_AUM,FashionMNIST_seed4_prop0.01,unbalanced,same,0.3,0.986719946066538,0.00559396564895841,0.939482470353444,0.011709305253719
conv_CE_weighted,FashionMNIST_seed4_prop0.01,balanced,other,0.1,0.959867020448049,0.00291321170360207,0.970889329910278,0.00240200667092084
conv_CE_weighted,FashionMNIST_seed4_prop0.01,unbalanced,other,0.1,0.9982603987058,0.000379988143550826,0.997482319672902,0.0007462225976263
conv_CE_weighted,FashionMNIST_seed4_prop0.01,balanced,same,0.1,0.993105908234914,0.000171455185927639,0.989988446235657,0.000304542196726447
conv_CE_weighted,FashionMNIST_seed4_prop0.01,unbalanced,same,0.1,0.998418827851613,0.000196264603943987,0.992783645788828,0.00225982724527745
